ACHC,Acadia Healthcare Company Inc,20160105,Fitch Expects to Withdraw Priory's Ratings on Acadia Acquisition ,(The following statement was released by the rating agency) LONDON  January 05 (Fitch) Fitch Ratings expects to withdraw Priory Group No. 3  plc's (Priory) Issuer Default Rating (IDR) of 'B+' and the 'BB+'/'RR1' ratings  on its super senior revolving credit facility (RCF)  senior secured notes due  2018 and senior notes due 2019 upon the closing of the proposed acquisition of  Priory by Acadia Healthcare Company  Inc. (Acadia)  a US-based provider of  inpatient behavioural healthcare services. F,topStory
AAPL,Apple Inc,20160105,Apple expected to cut iPhone 6S  6S Plus production: Nikkei ,Apple Inc is expected to cut production of its latest iPhone models by about 30 percent in the January-March quarter  the Nikkei reported.,topStory
AAPL,Apple Inc,20160105,UPDATE 2-Apple expected to cut iPhone 6S  6S Plus production - Nikkei ,Jan 5 Apple Inc is expected to cut production of its latest iPhone models by about 30 percent in the January-March quarter  the Nikkei reported.,normal
AAPL,Apple Inc,20160105,US STOCKS-Wall St stabilizes after weak start to year ,* Dow down 0.15 pct  S&P up 0.28 pct  Nasdaq down 0.26 pct   (Updates to late afternoon  changes byline),normal
AAPL,Apple Inc,20160105,Samsung urges U.S. court to overturn $120 mln patent verdict for Apple ,WASHINGTON Samsung Electronics Co Ltd  urged a U.S. appeals court on Tuesday to find that a jury in 2014 should not have made the South Korean company pay nearly $120 million to Apple Inc for infringing three patents.,normal
AAPL,Apple Inc,20160105,Samsung urges U.S. court to overturn $120 million patent verdict for Apple ,WASHINGTON Samsung Electronics Co Ltd  urged a U.S. appeals court on Tuesday to find that a jury in 2014 should not have made the South Korean company pay nearly $120 million to Apple Inc for infringing three patents.,normal
AAPL,Apple Inc,20160105,Samsung urges U.S. court to overturn $120 mln patent verdict for Apple ,WASHINGTON  Jan 5 Samsung Electronics Co Ltd  urged a U.S. appeals court on Tuesday to find that a jury in 2014 should not have made the South Korean company pay nearly $120 million to Apple Inc for infringing three patents.,normal
AAPL,Apple Inc,20160105,UPDATE 1-Ford will expand self-driving test car fleet to 30 ,LAS VEGAS  Jan 5 Ford Motor Co said Tuesday it plans to triple to 30 the size of its fleet of self-driving test cars as part of an effort to accelerate autonomous vehicle development.,normal
AAPL,Apple Inc,20160105,Apple expected to cut iPhone 6S  6S Plus production - Nikkei ,Jan 6 Apple Inc is expected to cut production of its latest iPhone models by about 30 percent in the January-March quarter  compared with its original plans  the Nikkei reported.,normal
AAPL,Apple Inc,20160105,Ireland says EU tax decision on Apple likely after elections ,DUBLIN Ireland does not expect European Union regulators to issue a decision on the country's tax deal with Apple until after upcoming parliamentary elections  finance minister Michael Noonan said on Tuesday.,normal
ABIO,ARCA biopharma Inc,20160105,Mexican bottler Arca boosts stake in Peru's Lindley ,MONTERREY  Mexico  Jan 4 Arca Continental  Latin America's No. 2 Coke bottler  said on Monday that it had increased its stake in Peru's Corporacion Lindley to more than 60 percent with an additional purchase of common shares with voting rights.,topStory
