AMZN,Amazoncom Inc,20151021,Ebay quarterly revenue falls 2.4 pct ,Oct 21 EBay Inc  facing intensifying competition from Amazon.com Inc as well as from traditional retailers  reported a 2.4 percent fall in revenue in its first quarterly results since the spinoff of its PayPal payments business.,topStory
AAPL,Apple Inc,20151021,Apple tells U.S. judge 'impossible' to unlock new iPhones ,NEW YORK Apple Inc told a U.S. judge that accessing data stored on a locked iPhone would be "impossible" with devices using its latest operating system  but the company has the "technical ability" to help law enforcement unlock older phones.,topStory
AAPL,Apple Inc,20151021,Japan's Nidec to lift investment in touch technology used in iPhones ,TOKYO  Oct 21 Japanese components maker Nidec Corp said it was increasing capital spending to meet stronger demand for haptic technology  which industry sources say is used in the "force touch" feature in Apple Inc's  latest iPhones.,normal
AAPL,Apple Inc,20151021,Apple tells U.S. judge 'impossible' to unlock new iPhones ,NEW YORK Apple Inc  told a U.S. judge that accessing data stored on a locked iPhone would be "impossible" with devices using its latest operating system  but the company has the "technical ability" to help law enforcement unlock older phones.,normal
AAPL,Apple Inc,20151021,UPDATE 1-Apple tells U.S. judge 'impossible' to unlock new iPhones ,NEW YORK  Oct 20 Apple Inc told a U.S. judge that accessing data stored on a locked iPhone would be "impossible" with devices using its latest operating system  but the company has the "technical ability" to help law enforcement unlock older phones.,normal
BIDU,Baidu Inc,20151021,BRIEF-COFCO e-commerce platform raises $220 million from Taikang Life  Baidu ,* E-commerce platform Womai.com raises $220 million from Taikang Life  Baidu and other investors - financial advisor China Renaissance    (Reporting By Adam Jourdan),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151021,Fortress in talks to buy Barclays 1 bln euro Italian mortgage pool-sources ,MILAN  Oct 21 U.S. asset manager Fortress Investment Group has entered exclusive talks to buy a 1 billion euro ($1.1 billion) portfolio of Italian house loans from Barclays  two sources close to the matter said.,topStory
BIIB,Biogen Inc,20151021,Biogen to cut 11 percent of staff  cancel some drug programs; stock jumps ,Biogen Inc   whose shares have tumbled since it slashed growth forecasts for its top-selling multiple sclerosis drug in July  said it will cut 11 percent of its workforce and eliminate development of several drugs to focus on high-priority medicines in its pipeline.,topStory
BIIB,Biogen Inc,20151021,UPDATE 3-Biogen to cut 11 pct of staff  cancel some drug programs; stock jumps ,Oct 21 Biogen Inc  whose shares have tumbled since it slashed growth forecasts for its top-selling multiple sclerosis drug in July  said it will cut 11 percent of its workforce and eliminate development of several drugs to focus on high-priority medicines in its pipeline.,normal
BIIB,Biogen Inc,20151021,Biogen to cut 11 pct of global workforce ,Oct 21 Drugmaker Biogen Inc said it would cut 11 pct of its global workforce by the end of this year.,normal
CZR,Caesars Entertainment Corporation,20151021,U.S. judge gives Caesars another four months to control bankruptcy ,CHICAGO Caesars Entertainment's bankrupt operating unit can keep exclusive control over its bankruptcy until March 15  a U.S. bankruptcy judge ruled on Wednesday  giving the casino group its second extension filing for chapter 11 protection in January.,topStory
CZR,Caesars Entertainment Corporation,20151021,U.S. judge gives Caesars another four months to control bankruptcy ,CHICAGO Caesars Entertainment's bankrupt operating unit can keep exclusive control over its bankruptcy until March 15  a U.S. bankruptcy judge ruled on Wednesday  giving the casino group its second extension filing for chapter 11 protection in January.,normal
CZR,Caesars Entertainment Corporation,20151021,U.S. judge gives Caesars another four months to control bankruptcy ,CHICAGO  Oct 21 Caesars Entertainment's  bankrupt operating unit can keep exclusive control over its bankruptcy until March 15  a U.S. bankruptcy judge ruled on Wednesday  giving the casino group its second extension filing for chapter 11 protection in January.,normal
CZR,Caesars Entertainment Corporation,20151021,Wilmington Trust sues Caesars over guarantee on unit's notes ,Oct 21 Wilmington Trust  a representative for noteholders of Caesars Entertainment Corp's (CEC)  bankrupt unit  has sued the casino operator for avoiding its written guarantee on repayment of more than $51 million of interest on the unit's debt.,normal
CXRX,Concordia International Corp,20151021,TRLPC: Concordia concessions show pharmaceutical loans under pressure ,NEW YORK  Oct 21 Banks arranging a US$1.865bn-equivalent of leveraged acquisition loans for US pharmaceutical company Concordia Healthcare had to offer heavy discounts and other concessions to attract investors as this part of the US healthcare sector continues to be pummelled.,topStory
