ACIW,ACI Worldwide Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),topStory
ATVI,Activision Blizzard Inc,20110914,Zumba Fitness  new game launches boost Majesco outlook ,Video game publisher Majesco Entertainment Co  raised its full-year outlook for the third time as it bets on the upcoming launch of the sequel to its popular Zumba Fitness title and the digital version of party game "Twister.",topStory
ALSK,Alaska Communications Systems Group Inc,20110914,TEXT: S&P Revises Alaska Communications Systems Outlk To Neg , -- We are revising our outlook on U.S. diversified telecommunications carrier Alaska Communications Systems (ACS) to negative from stable.,topStory
GOOG,Alphabet Inc,20110914,UPDATE 3-Third Point appeals to Yahoo founder Yang for change , * Yahoo declines to comment  (Adds Loeb comments from conference  source comments),topStory
GOOG,Alphabet Inc,20110914,Third Point appeals to Yahoo founder Yang for change ,Yahoo Inc shareholder Daniel Loeb appealed to the company's co-founder Jerry Yang to fire Chairman Roy Bostock and several other directors to revive the Internet media company after years of poor performance.,normal
GOOG,Alphabet Inc,20110914,Motorola's Jha to get $66 million golden parachute ,NEW YORK Motorola Mobility Chief Executive Sanjay Jha could get a $65.7 million payout related to the company's deal to sell itself to Google Inc for $12.5 billion.,normal
GOOG,Alphabet Inc,20110914,Google bid for Motorola rose in negotiation: filing ,Google Inc raised its offer for Motorola Mobility Holdings Inc by 33 percent to $12.5 billion over two weeks of negotiations between the two companies  according to a regulatory filing on Tuesday.,normal
GOOG,Alphabet Inc,20110914,Motorola's Jha to get $66 mln golden parachute , Sept 14 Motorola Mobility  Chief Executive Sanjay Jha could get a $65.7 million payout related to the company's deal to sell itself to Google Inc  for $12.5 billion.,normal
GOOG,Alphabet Inc,20110914,CORRECTED-US STOCKS-Wall St to open higher on euro optimism , (Corrects to make clear that Moody's downgrade of Societe Generale was not due to its exposure to Greece. The error also appeared in previous versions of this story.),normal
GOOG,Alphabet Inc,20110914,Deals of the day -- mergers and acquisitions , (Adds ESB  Tower Energy  Hertz Global  Erste Group Bank AG  ThyssenKrupp),normal
GOOG,Alphabet Inc,20110914,Former Kleiner partner starts social networking site Erly ,SAN FRANCISCO Former Kleiner Perkins partner Eric Feng says there's room for one more social network-- built around experiences  not people.,normal
GOOG,Alphabet Inc,20110914,Former Kleiner partner starts social networking site Erly , SAN FRANCISCO  Sept 14 Former Kleiner Perkins partner Eric Feng says there's room for one more social network-- built around experiences  not people.,normal
GOOG,Alphabet Inc,20110914,Developers get early taste of Windows 8 ,ANAHEIM  California Microsoft Corp handed out 5 000 sleek Samsung tablet computers running a test version of Windows 8 at its annual developer conference on Tuesday  hoping to stoke excitement over its new operating system. | Video ,normal
AMZN,Amazoncom Inc,20110914,Toys R Us holiday mantra: In exclusives we trust ,NEW YORK From squishy garbage-themed collectibles "The Trash Pack" to remote-controlled flying fish "Air Swimmers " Toys R Us  is carrying a larger assortment of exclusive toys to win holiday shoppers from the likes of Amazon.com  and Wal-Mart Stores .,topStory
AMZN,Amazoncom Inc,20110914,Amazon Spain launch may presage new overseas push , * Expansion may boost revenue  pressure margins-analyst,normal
AMZN,Amazoncom Inc,20110914,Toys R Us holiday mantra: In exclusives we trust , * To spend more on TV advertising  offer more online deals,normal
AMZN,Amazoncom Inc,20110914,Former Kleiner partner starts social networking site Erly ,SAN FRANCISCO Former Kleiner Perkins partner Eric Feng says there's room for one more social network-- built around experiences  not people.,normal
AMZN,Amazoncom Inc,20110914,Former Kleiner partner starts social networking site Erly , SAN FRANCISCO  Sept 14 Former Kleiner Perkins partner Eric Feng says there's room for one more social network-- built around experiences  not people.,normal
APEI,American Public Education Inc,20110914,UPDATE 1-Key US education department official to leave , Sept 14 James Kvaal  a key U.S. Department of Education official responsible for propagating rules against the for-profit education industry  is leaving to join president Barack Obama's 2012 re-election campaign.,topStory
AAPL,Apple Inc,20110914,Google bid for Motorola rose in negotiation: filing ,Google Inc raised its offer for Motorola Mobility Holdings Inc by 33 percent to $12.5 billion over two weeks of negotiations between the two companies  according to a regulatory filing on Tuesday.,topStory
AAPL,Apple Inc,20110914,Developers get early taste of Windows 8 ,ANAHEIM  California Microsoft Corp handed out 5 000 sleek Samsung tablet computers running a test version of Windows 8 at its annual developer conference on Tuesday  hoping to stoke excitement over its new operating system. | Video ,normal
