ACTG,Acacia Research Corporation,20110711,UPDATE 1-Acacia Research unit acquires 3G  4G patent rights , July 11 Acacia Research Corp   which acquires and licenses patent rights to various technologies  said its unit has acquired rights to certain patents for 3G and 4G wireless technology.,topStory
GOOG,Alphabet Inc,20110711,RIM annual meeting likely to exacerbate investor ire ,TORONTO Research In Motion investors desperate for news about how the BlackBerry maker will reverse its sagging fortunes will likely leave Tuesday's annual meeting with their frustrations even more inflamed.,topStory
GOOG,Alphabet Inc,20110711,CORRECTED - PREVIEW-RIM annual meeting likely to exacerbate investor ire , (Corrects day of AGM in paragraph 1 to Tuesday from Wednesday),normal
GOOG,Alphabet Inc,20110711,Target to sell new electronic reader ,SAN FRANCISCO Target Corp will soon start selling a new electronic reader that competes with Amazon.com Inc's Kindle and Barnes & Noble's Nook.,normal
GOOG,Alphabet Inc,20110711,Target to sell new electronic reader ,   * Device to be fully integrated with Google eBooks platform,normal
GOOG,Alphabet Inc,20110711,Telco managers admit being out of touch with customers: study ,FRANKFURT Telecom network operators acknowledged they are out of touch with customers' wants and are struggling to keep up with user expectations  a survey of industry executives found.,normal
GOOG,Alphabet Inc,20110711,Telco managers admit being out of touch with customers -study , * Majority of managers surveyed say companies out of sync,normal
AMZN,Amazoncom Inc,20110711,EBay sales strong in June: report ,SAN FRANCISCO Retailers generated strong sales growth through eBay Inc  Inc in June  e-commerce software company ChannelAdvisor said on Monday.,topStory
AMZN,Amazoncom Inc,20110711,EBay sales strong in June -- ChannelAdvisor , SAN FRANCISCO  July 11 Retailers generated strong sales growth through eBay Inc  Inc in June  e-commerce software company ChannelAdvisor said on Monday.,normal
AMZN,Amazoncom Inc,20110711,Target to sell new electronic reader ,SAN FRANCISCO Target Corp will soon start selling a new electronic reader that competes with Amazon.com Inc's Kindle and Barnes & Noble's Nook.,normal
AMZN,Amazoncom Inc,20110711,Target to sell new electronic reader ,   * Device to be fully integrated with Google eBooks platform,normal
AMZN,Amazoncom Inc,20110711,PRESS DIGEST - British business - July 11 , BABY-BOOMERS BILL WILL SEND DEBT SPIRALLING  SAYS OBR,normal
AMSC,American Superconductor Corporation,20110711,RPT-UPDATE 2-AMSC to restate revenue for prior quarters , * Reduces Q2 2010 rev to about $98 mln; Q3 2010 to $43 mln,topStory
AMSC,American Superconductor Corporation,20110711,UPDATE 2-AMSC to restate revenue for prior quarters , ,normal
