AMZN,Amazoncom Inc,20140527,COLUMN-Why I'm ditching my Amazon account ,(The opinions expressed here are those of the author  a columnist for Reuters.),topStory
AAPL,Apple Inc,20140527,Nitto Denko to ease reliance on display business ,OSAKA  Japan  May 27 Japan's Nitto Denko Corp   an Apple Inc supplier that makes industrial films and tapes  expects its reliance on volatile business in display screens to ease as it courts customers in autos and other industries  its chief executive said.,topStory
AAPL,Apple Inc,20140527,Foxconn to buy $390 million stake in Taiwan telecom operator in 4G push ,TAIPEI Apple Inc supplier Foxconn Technology Group will buy a stake in Taiwanese mobile telecoms operator Asia Pacific Telecom for T$11.6 billion ($390 million) in a deal that would expand its presence in Taiwan's fledgling 4G telecoms market.,normal
AAPL,Apple Inc,20140527,Taiwan stocks rise; Asia Pacific gains on stake sale to Hon Hai ,TAIPEI  May 27 Taiwan stocks rose 0.18 percent in early trade on Tuesday  led by local wireless operator Asia Pacific Telecom Co Ltd  which announced it would sell a stake and eventually merge with a unit of Apple Inc  supplier Hon Hai Precision Industry Co Ltd.     As of 0225 GMT  the main TAIEX index was up 16.35 points at 9 052.47  largely in line with other regional and global bourses and extending the previous session's 0.31 percent gain.     Asia Pacific Telecom rose 2.8 percen,normal
AAPL,Apple Inc,20140527,Foxconn to buy $390 million stake in Taiwan telecom operator in 4G push ,TAIPEI Apple Inc supplier Foxconn Technology Group will buy a stake in Taiwanese mobile telecoms operator Asia Pacific Telecom for T$11.6 billion ($390 million) in a deal that would expand its presence in Taiwan's fledgling 4G telecoms market.,normal
AAPL,Apple Inc,20140527,UPDATE 1-Foxconn to buy $390 mln stake in Taiwan telecom operator in 4G push ,* Foxconn to purchase T$11.6 billion stake in Asia Pacific Telecom,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DLBL,Barclays PLC,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DLBL,Barclays PLC,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBL,Barclays PLC,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DLBL,Barclays PLC,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBL,Barclays PLC,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DLBL,Barclays PLC,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DLBL,Barclays PLC,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
DTYL,Barclays PLC,20140527,MOVES- Pacific Investment  Co-op Bank  Barclays  UBS ,(Adds Pacific Investment  Co-operative Bank and U.S. Bank Wealth Management),topStory
DTYL,Barclays PLC,20140527,Three U.S.-based former Barclays traders appear in UK court ,LONDON Three ex-traders from banking group Barclays  appeared in a London court on Tuesday as Britain began criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYL,Barclays PLC,20140527,UPDATE 1-Three U.S.-based former Barclays traders appear in UK court ,* Prosecutor says the 3 conspired with colleagues in London,normal
DTYL,Barclays PLC,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON Three former Barclays traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYL,Barclays PLC,20140527,Barclays slapped with $44 million fine over gold price fix ,LONDON Barclays Plc has been fined 26 million pounds ($43.8 million) for failures in internal controls that allowed a trader to manipulate the setting of gold prices  just a day after the bank was fined for rigging Libor interest rates in 2012.,normal
DTYL,Barclays PLC,20140527,Three former U.S.-based Barclays traders appear in UK court ,LONDON  May 27 Three former Barclays  traders appeared in a London court on Tuesday as Britain formally began its first criminal proceedings against U.S.-based Libor traders  part of a global investigation into alleged rigging of benchmark interest rates.,normal
DTYL,Barclays PLC,20140527,Hedge funds could raise up to $70 bln from Asia-Pac investors-Barclays ,HONG KONG  May 27 Hedge funds could raise up to $70 billion from investors in the Asia Pacific region over the next three years  half of it in new capital  Barclays  said in a survey on Tuesday.,normal
BCRX,BioCryst Pharmaceuticals Inc,20140527,BioCryst hereditary disorder drug succeeds in trial  shares jump ,BioCryst Pharmaceuticals Inc's oral drug to prevent a hereditary disorder characterized by abnormal swelling was effective in reducing attacks  sending the drugmaker's shares up as much as 22 percent.,topStory
BCRX,BioCryst Pharmaceuticals Inc,20140527,UPDATE 2-BioCryst hereditary disorder drug succeeds in trial  shares jump ,* Drug  if approved  will be first oral preventive for hereditary angioedema,normal
BCRX,BioCryst Pharmaceuticals Inc,20140527,BioCryst's immune disorder drug succeeds in mid-stage trial ,May 27 BioCryst Pharmaceuticals Inc  said its experimental drug for treating a rare immune disorder was effective in reducing the attacks of the disease in a mid-stage trial.,normal
CSCO,Cisco Systems Inc,20140527,US STOCKS-S&P 500 at fresh record  small caps continue to bounce ,* Cisco shares up on Deutsche Bank upgrade  price target hike,topStory
CSCO,Cisco Systems Inc,20140527,US STOCKS-Wall St to rise on ECB hopes  merger activity ,* Cisco shares up on Deutsche Bank upgrade  price target hike,normal
CMCSA,Comcast Corporation,20140527,U.S. should reject Comcast-TWC merger - NY Times editorial ,WASHINGTON  May 27 U.S. regulators should challenge the proposed $45 billion merger of the two largest American cable providers  Comcast Corp and Time Warner Cable Inc  the New York Times said in an editorial in Tuesday's newspaper.,topStory
DISH,DISH Network Corporation,20140527,LightSquared  creditors head to judge-supervised mediation ,NEW YORK  May 27 LightSquared and its creditors  including Dish Network Corp Chairman Charles Ergen  will go into court-ordered mediation to settle on a plan to restructure the bankrupt wireless venture  lawyers said on Tuesday.,topStory
FB,Facebook Inc,20140527,RPT-Iranian judge summons Facebook CEO for breach of privacy ,DUBAI  May 27 A conservative Iranian court opened a case against instant messaging services WhatsApp and Instagram while also summoning Facebook CEO Mark Zuckerberg over complaints of privacy violation  state news agency ISNA reported on Tuesday.,topStory
INTC,Intel Corporation,20140527,UPDATE 2-Intel to make tablet chips with China's Rockchip ,SAN FRANCISCO  May 27 Intel Corp said on Tuesday it reached an agreement with Chinese mobile chipmaker Rockchip to make chips for inexpensive tablets running Google Inc's Android platform.,topStory
