AMCX,AMC Networks Inc,20121102,DIARY-NON S&P WEEK AHEAD - Part II ,** For events before Nov. 8 - please click on or .       - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov           Q3 2012 AAON                                  0.23     1     0.23 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    20   ,topStory
AAPL,Apple Inc,20121102,Apple iPad mini draws New Yorkers; crowds thin elsewhere ,NEW YORK/SAN FRANCISCO Apple Inc's iPad mini hit stores around the world on Friday  attracting sparser crowds than previous Apple launches  but the kickoff still drew hundreds of New Yorkers only days after one of the biggest storms to hit the United States. | Video ,topStory
AAPL,Apple Inc,20121102,Google's Android software in 3 out of 4 smartphones ,SAN FRANCISCO Three out of every four smartphones sold in the third quarter featured Google Inc's Android mobile operating system  as the gap between Google and Apple Inc-based phones widened further  according to a new research report.,normal
AAPL,Apple Inc,20121102,Google's Android software in 3 out of 4 smartphones ,SAN FRANCISCO  Nov 2 Three out of every four smartphones sold in the third quarter featured Google Inc's  Android mobile operating system  as the gap between Google and Apple Inc-based phones widened further  according to a new research report.,normal
AAPL,Apple Inc,20121102,UPDATE 4-Apple iPad mini draws New Yorkers; crowds thin elsewhere ,NEW YORK/SAN FRANCISCO  Nov 2 Apple Inc's  iPad mini hit stores around the world on Friday  attracting sparser crowds than previous Apple launches  but the kickoff still drew hundreds of New Yorkers only days after one of the biggest storms to hit the United States.,normal
AAPL,Apple Inc,20121102,Apple rolls out iPad mini in Asia to shorter lines ,SYDNEY Apple fans lined up in several Asian cities to get their hands on the iPad mini on Friday  but the device  priced above rival gadgets from Google and Amazon.com  attracted smaller crowds than at the company's previous global rollouts.,normal
AAPL,Apple Inc,20121102,Apple rolls out iPad mini in Sydney to shorter lines ,SYDNEY  Nov 2 Apple fans lined up in Sydney  Australia  to get their hands on the iPad mini on Friday  but the device  priced above rival gadgets from Google and Amazon.com  attracted smaller crowds than at the company's previous global rollouts.,normal
CAR,Avis Budget Group Inc,20121102,Avis Budget forecast hit by Europe slowdown ,Car rental company Avis Budget Group Inc's quarterly profit missed analysts' estimates and the company forecast full-year profit below expectations as a weak European economy hurt travel demand.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121102,UPDATE 4-RBS braced for fines to settle Libor probe ,LONDON  Nov 2 Royal Bank of Scotland  faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible.,normal
DLBL,Barclays PLC,20121102,RBS braced for fines to settle Libor probe ,LONDON Royal Bank of Scotland faces fines for its part in a global interest rate rigging scandal and wants to reach a settlement as soon as possible. | Video ,topStory
