SHLM,A Schulman Inc,20150807,BRIEF-CBR suspends Pharmacy Chain 36.6 additional share issue ,* The Central Bank of Russia (CBR) has suspended additional share issue of Pharmacy Chain 36.6  conducted under the merger with A.v.e Group  CBR said on Thursday,topStory
GOOG,Alphabet Inc,20150807,Google  Samsung to issue monthly Android security fixes ,LAS VEGAS Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones  a growing target for hackers  after the disclosure of a bug designed to attack the world's most popular mobile operating system.,topStory
GOOG,Alphabet Inc,20150807,Google  Samsung to issue monthly Android security fixes ,LAS VEGAS  Aug 6 Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones  a growing target for hackers  after the disclosure of a bug designed to attack the world's most popular mobile operating system.,normal
GOOGL,Alphabet Inc,20150807,Google  Samsung to issue monthly Android security fixes ,LAS VEGAS Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones  a growing target for hackers  after the disclosure of a bug designed to attack the world's most popular mobile operating system.,topStory
GOOGL,Alphabet Inc,20150807,Google  Samsung to issue monthly Android security fixes ,LAS VEGAS  Aug 6 Google Inc and Samsung Electronics Co will release monthly security fixes for Android phones  a growing target for hackers  after the disclosure of a bug designed to attack the world's most popular mobile operating system.,normal
AMRN,Amarin Corporation plc,20150807,Amarin scores early victory in fish oil drug marketing lawsuit ,A U.S. judge on Friday barred the U.S. Food and Drug Administration from stopping Irish drugmaker Amarin Corp  from promoting its fish oil drug for off-label uses  saying the company is protected by the First Amendment.,topStory
AMRN,Amarin Corporation plc,20150807,Amarin scores early victory in fish oil drug marketing lawsuit ,A U.S. judge on Friday barred the U.S. Food and Drug Administration from stopping Irish drugmaker Amarin Corp from promoting its fish oil drug for off-label uses  saying the company is protected by the First Amendment.,normal
AMRN,Amarin Corporation plc,20150807,UPDATE 2-Amarin scores early victory in fish oil drug marketing lawsuit ,Aug 7 A U.S. judge on Friday barred the U.S. Food and Drug Administration from stopping Irish drugmaker Amarin Corp from promoting its fish oil drug for off-label uses  saying the company is protected by the First Amendment.,normal
AMRN,Amarin Corporation plc,20150807,Amarin scores early victory in fish oil marketing lawsuit ,Aug 7 A U.S. judge has barred the U.S. Food and Drug Administration from stopping Irish drugmaker Amarin Corp  from promoting its fish oil drug off label  ruling that the company is protected by the First Amendment.,normal
AAL,American Airlines Group Inc,20150807,China-linked hackers attack American Airlines  Sabre systems: Bloomberg ,China-linked hackers attacked the computer systems of travel reservations distributor Sabre Corp  and American Airlines Group Inc   Bloomberg reported  although the world's largest airline said there was no evidence of such a breach.,topStory
AAL,American Airlines Group Inc,20150807,UPDATE 2-China-linked hackers attack American Airlines  Sabre systems - Bloomberg ,Aug 7 China-linked hackers attacked the computer systems of travel reservations distributor Sabre Corp  and American Airlines Group Inc  Bloomberg reported  although the world's largest airline said there was no evidence of such a breach.,normal
