AMAG,AMAG Pharmaceuticals Inc,20151008,VW partner AMAG Leasing extends Swiss credit lines ,ZURICH  Oct 8 Swiss auto distributor and Volkswagen importer AMAG said its leasing arm had extended for five years a 2.5 billion Swiss franc ($2.6 billion) syndicated loan facility with 26 Swiss banks.,topStory
AMZN,Amazoncom Inc,20151008,Amazon launches platform to build apps for 'Internet of Things' ,Amazon.com Inc's cloud business  Amazon Web Services  has launched a service to help customers build applications to connect devices through the cloud  the so-called "Internet of Things".,topStory
AMZN,Amazoncom Inc,20151008,UPDATE 1-Amazon launches platform to build apps for "Internet of Things" ,Oct 8 Amazon.com Inc's cloud business  Amazon Web Services  has launched a service to help customers build applications to connect devices through the cloud  the so-called "Internet of Things".,normal
AMZN,Amazoncom Inc,20151008,Amazon launches platform to build apps for "Internet of Things" ,Oct 8 Amazon.com Inc's cloud business  Amazon Web Services  has launched a service to help customers build applications for connected devices  the so-called "Internet of Things".,normal
AMZN,Amazoncom Inc,20151008,Amazon launches marketplace for handmade goods ,CHICAGO  Oct 8 Amazon.com Inc is launching a marketplace for handcrafted goods on Thursday that will allow customers to buy products made by artisans from more than 60 countries.,normal
AAPL,Apple Inc,20151008,Apple Pay to expand to Starbucks  Chili's  KFC ,HALF MOON BAY  Calif Starbucks Corp  coffee shops will begin accepting Apple Inc's  mobile payment system in a pilot program starting this year  Apple Vice President Jennifer Bailey said on Thursday.,topStory
AAPL,Apple Inc,20151008,UPDATE 1-Apple Pay to expand to Starbucks  Chili's  KFC ,HALF MOON BAY  Calif  Oct 8 Starbucks Corp  coffee shops will begin accepting Apple Inc's  mobile payment system in a pilot program starting this year  Apple Vice President Jennifer Bailey said on Thursday.,normal
AAPL,Apple Inc,20151008,Apple Pay to land in Starbucks  Chili's  KFC ,HALF MOON BAY  Calif  Oct 8 Starbucks Corp  locations will begin accepting Apple Inc's  mobile payment system in a pilot program starting this year  Apple Vice President Jennifer Bailey said at an event on Thursday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20151008,Barclays  BoA Merrill to lead Israel's Zim NY IPO: sources ,JERUSALEM Bank of America Merrill Lynch and Barclays Plc will lead an initial public offering of Israeli shipping firm Zim on Wall Street next year  two sources familiar with the matter said on Thursday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151008,Barclays  BoA Merrill to lead Israel's Zim NY IPO -sources ,JERUSALEM  Oct 8 Bank of America Merrill Lynch  and Barclays Plc will lead an initial public offering of Israeli shipping firm Zim on Wall Street next year  two sources familiar with the matter said on Thursday.,normal
AVGO,Broadcom Limited,20151008,UPDATE 7-Dell looks to EMC deal to boost corporate presence ,Oct 8 Dell Inc is in talks with banks to fund a takeover of data storage company EMC Corp  sources familiar with the matter said  as the world's No.3 PC maker looks to beef up its cloud-based offerings for corporate customers.,normal
AVGO,Broadcom Limited,20151008,CORRECTED-UPDATE 5-Dell looking at $50 bln EMC deal to boost corporate presence ,Oct 8 Dell Inc is in talks with banks to fund a $50 billion-plus takeover of data storage company EMC Corp  sources familiar with the matter said  as the world's No.3 PC maker looks to beef up its cloud-based offerings for corporate customers.,normal
CZR,Caesars Entertainment Corporation,20151008,Caesars tries to woo strengthened creditors with new plan ,CHICAGO Caesars Entertainment Corp's  bankrupt operating unit said it will seek bidders for its business while continuing talks with its warring creditors  whose position was strengthened by a key court victory on Thursday.,topStory
CZR,Caesars Entertainment Corporation,20151008,Caesars tries to woo strengthened creditors with new plan ,CHICAGO Caesars Entertainment Corp's bankrupt operating unit said it will seek bidders for its business while continuing talks with its warring creditors  whose position was strengthened by a key court victory on Thursday.,normal
CZR,Caesars Entertainment Corporation,20151008,UPDATE 4-Caesars tries to woo strengthened creditors with new plan ,* Asks to extend control over bankruptcy until March 15   (Recasts with potential plan to sell assets),normal
CZR,Caesars Entertainment Corporation,20151008,Ruling allows creditor suits to proceed vs. Caesars Entertainment ,Caesars Entertainment Corp must defend lawsuits from hedge fund creditors owed billions of dollars by its bankrupt operating unit  a U.S. federal judge ruled on Thursday  upholding a ruling from U.S. Bankruptcy Judge Benjamin Goldgar.,normal
CZR,Caesars Entertainment Corporation,20151008,Ruling allows creditor suits to proceed vs Caesars Entertainment ,Oct 8 Caesars Entertainment Corp must defend lawsuits from hedge fund creditors owed billions of dollars by its bankrupt operating unit  a U.S. federal judge ruled on Thursday  upholding a ruling from U.S. Bankruptcy Judge Benjamin Goldgar.,normal
CZR,Caesars Entertainment Corporation,20151008,CORRECTED-Caesars Entertainment unit files amended restructuring plan ,Oct 8 Casino operator Caesars Entertainment Corp  said its unit filed an amended restructuring plan along with a disclosure statement in a U.S. bankruptcy court.,normal
CSCO,Cisco Systems Inc,20151008,Big Cisco bet on France offers relief from Air France fiasco ,PARIS Still reeling from front page images of shirtless Air France executives fleeing angry workers  the French government got a welcome boost on Thursday for its campaign to attract foreign investment from U.S. tech group Cisco.,topStory
CSCO,Cisco Systems Inc,20151008,CORRECTED-Big Cisco bet on France offers relief from Air France fiasco ,PARIS  Oct 8 Still reeling from front page images of shirtless Air France executives fleeing angry workers  the French government got a welcome boost on Thursday for its campaign to attract foreign investment from U.S. tech group Cisco.,normal
FB,Facebook Inc,20151008,From sadness to wow  Facebook launches reaction buttons  beyond like ,SAN FRANCISCO Like it or not  Facebook Inc's trademark "like" button is set to get more expressive.,topStory
FB,Facebook Inc,20151008,UPDATE 2-From sadness to wow  Facebook launches reaction buttons  beyond like ,SAN FRANCISCO  Oct 8 Like it or not  Facebook Inc's trademark "like" button is set to get more expressive.,normal
INTC,Intel Corporation,20151008,EU mergers and takeovers (Oct 8) ,BRUSSELS  Oct 8 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
KLXI,KLX Inc,20151008,KLX unit  ex-president in $20 million settlement with U.S ,NEW YORK An aerospace supply chain manager now owned by KLX Inc and its former president have reached a $20 million settlement resolving U.S. government claims that it misrepresented itself as a woman-owned small business in order to obtain defense contracts.,topStory
KLXI,KLX Inc,20151008,UPDATE 2-KLX unit  ex-president in $20 mln settlement with U.S. ,NEW YORK  Oct 8 An aerospace supply chain manager now owned by KLX Inc and its former president have reached a $20 million settlement resolving U.S. government claims that it misrepresented itself as a woman-owned small business in order to obtain defense contracts.,normal
KLXI,KLX Inc,20151008,KLX unit  ex-president in $20 million settlement with U.S. ,NEW YORK  An aerospace supply chain manager now owned by KLX Inc and its former president have agreed to pay $20 million to resolve U.S. government claims that it misrepresented itself as a woman-owned small business in order to obtain defense contracts.,normal
