AGEN,Agenus Inc,20140724,UPDATE 2-GSK seeks approval for world's first malaria vaccine ,* Mosquito-borne malaria kills over 600 000 people a year,topStory
GOOG,Alphabet Inc,20140724,Google under fire from regulators on EU privacy ruling ,BRUSSELS Google's GOOGL.O handling of "right to be forgotten" requests from European citizens came under fire by regulators after the search engine company restricted the removal of Internet links to European sites only  a person familiar with the matter said.,topStory
GOOG,Alphabet Inc,20140724,UPDATE 2-Google under fire from regulators on EU privacy ruling ,* Google's handling of removal requests has drawn criticism,normal
GOOG,Alphabet Inc,20140724,Google under fire from regulators over response to EU privacy ruling ,* EU watchdogs meet web firms over "right to be forgotten",normal
GOOGL,Alphabet Inc,20140724,Google under fire from regulators on EU privacy ruling ,BRUSSELS Google's GOOGL.O handling of "right to be forgotten" requests from European citizens came under fire by regulators after the search engine company restricted the removal of Internet links to European sites only  a person familiar with the matter said.,topStory
GOOGL,Alphabet Inc,20140724,UPDATE 2-Google under fire from regulators on EU privacy ruling ,* Google's handling of removal requests has drawn criticism,normal
GOOGL,Alphabet Inc,20140724,Google under fire from regulators over response to EU privacy ruling ,* EU watchdogs meet web firms over "right to be forgotten",normal
AMZN,Amazoncom Inc,20140724,Amazon's heavy investing eats into bottom line  shares drop ,SAN FRANCISCO Amazon.com Inc posted a much larger-than-expected loss in the second quarter as it continues its rapid pace of investment in new businesses such as digital content and consumer electronics.,topStory
AMZN,Amazoncom Inc,20140724,Amazon spending more than $100 million on original content in third-quarter ,SAN FRANCISCO Amazon.com Inc is spending more than $100 million on original video content in the third quarter  considerably higher than its spending a year ago and in the second quarter  Chief Financial Officer Tom Szkutak said on Thursday.,normal
AMZN,Amazoncom Inc,20140724,Amazon spending more than $100 million on original content in third-quarter ,SAN FRANCISCO Amazon.com Inc is spending more than $100 million on original video content in the third quarter  considerably higher than its spending a year ago and in the second quarter  Chief Financial Officer Tom Szkutak said on Thursday.,normal
AMZN,Amazoncom Inc,20140724,Amazon spending more than $100 mln on original content in Q3 ,SAN FRANCISCO  July 24 Amazon.com Inc  is spending more than $100 million on original video content in the third quarter  considerably higher than its spending a year ago and in the second quarter  Chief Financial Officer Tom Szkutak said on Thursday.,normal
AMZN,Amazoncom Inc,20140724,US STOCKS-Wall St ends flat on mixed earnings; S&P 500 at record ,* Caterpillar drags on Dow; Facebook at record on results,normal
AMZN,Amazoncom Inc,20140724,UPDATE 2-Amazon's heavy investing eats into bottom line  shares drop ,SAN FRANCISCO  July 24 Amazon.com Inc  posted a much larger-than-expected loss in the second quarter as it continues its rapid pace of investment in new businesses such as digital content and consumer electronics.,normal
AMZN,Amazoncom Inc,20140724,Amazon posts larger second-quarter loss  but revenue rises ,SAN FRANCISCO  July 24 Amazon.com Inc  posted a larger loss in the second quarter as its rapid pace of investment in new businesses such as digital content and same-day delivery offset revenue growth  sending its shares lower in after-hours trading.,normal
AMZN,Amazoncom Inc,20140724,BRIEF-Amazon's "Fire" smartphone includes chips from Qualcomm  Samsung  NXP - ifixit teardown ,SAN FRANCISCO  July 24 Amazon.com Inc :  * New "fire" smartphone includes ram  nand memory chips from Samsung elecronics,normal
AMZN,Amazoncom Inc,20140724,Amazon's smartphone fails to kindle a 'Fire' among reviewers ,Amazon.com Inc's new "Fire" smartphone features "gimmicks" - such as 3D effects and object scanner - that may not be enough to entice users away from similarly priced Apple Inc iPhones and Samsung's Galaxy S5  reviewers said.,normal
AMZN,Amazoncom Inc,20140724,Amazon's smartphone fails to kindle a "Fire" among reviewers ,July 24 Amazon.com Inc's new "Fire" smartphone features "gimmicks" - such as 3D effects and object scanner - that may not be enough to entice users away from similarly priced Apple Inc iPhones and Samsung's  Galaxy S5  reviewers said.,normal
AAL,American Airlines Group Inc,20140724,American Air sets first dividend since 1980 as profit rises ,American Airlines Group  said Thursday it will pay its first dividend since 1980 and buy back stock as it reported improved second-quarter earnings.,topStory
AAL,American Airlines Group Inc,20140724,RPT-UPDATE 1-American Air sets first dividend since 1980 as profit rises ,(Repeats story published at 8:55 a.m. EDT to widen distribution),normal
AAL,American Airlines Group Inc,20140724,American Airlines declares 1st dividend since 1980 as profit rises ,July 24 American Airlines Group Inc said on Thursday it will pay its first dividend since 1980 and buy back stock as it reported higher second-quarter earnings.,normal
AAPL,Apple Inc,20140724,U.S. judge says she is troubled by Apple $450 million e-books deal ,NEW YORK A U.S. judge on Thursday expressed concern over a proposed $450 million settlement of claims Apple Inc conspired with five publishers to fix e-book prices  saying its provisions could drastically reduce money paid to consumers depending on appeals.,topStory
AAPL,Apple Inc,20140724,U.S. judge says she is troubled by Apple $450 million e-books deal ,NEW YORK  July 24 A U.S. judge on Thursday expressed concern over a proposed $450 million settlement of claims Apple Inc conspired with five publishers to fix e-book prices  saying its provisions could drastically reduce money paid to consumers depending on appeals.,normal
AAPL,Apple Inc,20140724,Amazon's smartphone fails to kindle a 'Fire' among reviewers ,Amazon.com Inc's new "Fire" smartphone features "gimmicks" - such as 3D effects and object scanner - that may not be enough to entice users away from similarly priced Apple Inc iPhones and Samsung's Galaxy S5  reviewers said.,normal
AAPL,Apple Inc,20140724,Amazon's smartphone fails to kindle a "Fire" among reviewers ,July 24 Amazon.com Inc's new "Fire" smartphone features "gimmicks" - such as 3D effects and object scanner - that may not be enough to entice users away from similarly priced Apple Inc iPhones and Samsung's  Galaxy S5  reviewers said.,normal
AAPL,Apple Inc,20140724,In China  Apple's focus pays off while Samsung feels squeeze ,BEIJING The mobile industry has long held that Samsung's broad range of mobile devices makes it nimble in changing markets  while Apple loses out by rigidly sticking to its high-end gadgets.,normal
AAPL,Apple Inc,20140724,Swatch Group denies working with Apple on smartwatch ,ZURICH Swiss watchmaker Swatch Group has denied a media report saying it was working with technology company Apple on a smartwatch  a wearable device with interactive functions.,normal
AAPL,Apple Inc,20140724,UPDATE 1-Swatch Group denies working with Apple on smartwatch ,ZURICH  July 24 Swiss watchmaker Swatch Group  has denied a media report saying it was working with technology company Apple on a smartwatch  a wearable device with interactive functions.,normal
AAPL,Apple Inc,20140724,Swatch Group denies working with Apple on smartwatch ,ZURICH  July 24 Swiss watchmaker Swatch Group  has denied a media report saying it was working with technology company Apple on a smartwatch  a wearable device with interactive functions.,normal
AAPL,Apple Inc,20140724,In China  Apple's focus pays off while Samsung feels squeeze ,BEIJING  July 24 The mobile industry has long held that Samsung's broad range of mobile devices makes it nimble in changing markets  while Apple loses out by rigidly sticking to its high-end gadgets.,normal
AAPL,Apple Inc,20140724,GLOBAL MARKETS--Euro gets lift from business activity data  China PMI helps emerging stocks ,* US tech stocks buoyed by Apple; Facebook at record high,normal
ADP,Automatic Data Processing Inc,20140724,EU mergers and takeovers (July 24) ,BRUSSELS  July 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BIDU,Baidu Inc,20140724,China's Baidu outpaces Street targets as mobile revenue surges ,SAN FRANCISCO Baidu Inc  China’s biggest Internet search company  blew past Wall Street's targets with a 34.1 percent jump in quarterly net profit  helped by a surge in mobile revenue.,topStory
BIDU,Baidu Inc,20140724,UPDATE 1-China's Baidu outpaces Street targets as mobile revenue surges ,SAN FRANCISCO  July 24 Baidu Inc  China's biggest Internet search company  blew past Wall Street's targets with a 34.1 percent jump in quarterly net profit  helped by a surge in mobile revenue.,normal
BIDU,Baidu Inc,20140724,US STOCKS-Wall St ends flat on mixed earnings; S&P 500 at record ,* Caterpillar drags on Dow; Facebook at record on results,normal
BIDU,Baidu Inc,20140724,China's Baidu outpaces Street targets as mobile revenue surges ,SAN FRANCISCO  July 24 Baidu Inc  China's biggest Internet search company  blew away Wall Street's targets with a 34.1 percent jump in quarterly net profit  helped by a surge in mobile revenue.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DLBL,Barclays PLC,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DLBL,Barclays PLC,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DLBL,Barclays PLC,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DTYL,Barclays PLC,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DTYL,Barclays PLC,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DTYL,Barclays PLC,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
CELG,Celgene Corporation,20140724,Celgene profit rises but revised outlook disappoints ,Celgene Corp  reported a 25 percent rise in second-quarter profit  edging out Wall Street expectations  but a raised 2014 forecast failed to excite investors and its shares fell nearly 4 percent.,topStory
CELG,Celgene Corporation,20140724,UPDATE 2-Celgene profit rises but revised outlook disappoints ,* Raises 2014 revenue  adjusted earnings-per-share forecast,normal
CELG,Celgene Corporation,20140724,Celgene profit rises 25 pct up on higher cancer drug sales ,July 24 Celgene Corp reported a 25 percent increase in quarterly profit  helped by robust sales of its flagship cancer drug  Revlimid.,normal
FB,Facebook Inc,20140724,US STOCKS-Wall St ends flat on mixed earnings; S&P 500 at record ,* Caterpillar drags on Dow; Facebook at record on results,topStory
FB,Facebook Inc,20140724,Facebook goes express to mega-cap status - now valued more than AT&T  Coke ,NEW YORK In the days after its infamously mishandled initial public offering in May 2012  it looked as if Facebook would struggle to become a must-own for fund managers.,normal
FB,Facebook Inc,20140724,GLOBAL MARKETS-Stocks edge up  U.S. bonds slip on jobless data  earnings ,* S&P 500 closes at record high for 2nd day; MSCI world index up,normal
FB,Facebook Inc,20140724,US STOCKS-Wall St finishes flat on mixed earnings; S&P at record ,* Caterpillar drags on Dow; Facebook stock at record on results,normal
FB,Facebook Inc,20140724,GLOBAL MARKETS-Stocks gain  U.S. bonds slip on jobless data  earnings ,* U.S. homebuilders down after housing data   (Updates with U.S. oil settlement  adds gold),normal
FB,Facebook Inc,20140724,US STOCKS-Wall St flat as Caterpillar offsets Facebook ,* Caterpillar weighs on Dow  Facebook hits record on results,normal
FB,Facebook Inc,20140724,GLOBAL MARKETS-Stocks gain  U.S. bonds fall on jobless data  results ,* US homebuilders down after housing data   (Adds homebuilder shares and other details  updates trading),normal
FB,Facebook Inc,20140724,Facebook shares hit record high as market likes earnings ,Shares of Facebook Inc  hit a record high on Thursday after a surge in mobile advertising revenue helped the world's No. 1 social network trounce analysts' expectations for quarterly profit and revenue. | Video ,normal
FB,Facebook Inc,20140724,GLOBAL MARKETS-Stock indexes  euro inch up on euro zone data  U.S. earnings ,* Emerging-market stocks at 17-month highs after China PMI   (Updates with U.S. markets opening  changes byline  dateline  previous LONDON),normal
FB,Facebook Inc,20140724,US STOCKS-Results  jobs data buoy Wall St  S&P eyes 2 000 ,* Indexes: Dow  S&P flat; Nasdaq off 0.1 pct   (Updates to morning trading  adds data  comment),normal
GRIF,Griffin Industrial Realty Inc,20140724,Hedge fund Citadel founder Kenneth Griffin seeks to divorce wife ,BOSTON  July 24 Billionaire investor Kenneth Griffin  who oversees $20 billion at hedge fund Citadel LLC  filed for divorce from his wife citing "irreconcilable differences " according to court filings seen by Reuters on Thursday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20140724,UPDATE 2-Barclays files to dismiss New York lawsuit against 'dark pool' ,* No victims  harm or material misstatements established - Barclays   (Adds Schneiderman statement  paragraph 5  additional byline and dateline),normal
DTYS,iPath US Treasury 10-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK  July 24 Barclays Plc filed a motion on Thursday to throw out the New York attorney general's lawsuit that alleged the bank lied to clients over its high-speed trading venue  saying many of the state's allegations were taken out of context.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20140724,Barclays files to dismiss New York lawsuit against 'dark pool' ,NEW YORK/LONDON Barclays Plc  urged the dismissal on Thursday of a lawsuit from the New York attorney general alleging the bank  lied to clients about its high-speed trading venue  saying the complaint had "fatal flaws" because Barclays' customers were never misled.,topStory
