ARAY,Accuray Incorporated,20150713,BRIEF-Raysearch says inks long-term sales agreement with Accuray ,* Says Accuray and Raysearch announce long-term collaboration agreement regarding the Raycare oncology information system,topStory
AMZN,Amazoncom Inc,20150713,Wal-Mart takes on Amazon's 'Prime Day' with online sale ,Wal-Mart Stores Inc  will launch a three-month online sale on Wednesday to take on Amazon.com Inc's  "Prime Day"  a highly publicized shopping event for members of Amazon Prime shipping and digital content service the same day.,topStory
AMZN,Amazoncom Inc,20150713,Peru delays bids for country's most productive oil block ,LIMA  July 13 Peru will delay bidding for the rights to develop the country's largest oil block  which is located in the Amazon jungle  at the request of three companies involved in the process  the government said on Monday.,normal
AMZN,Amazoncom Inc,20150713,Wal-Mart takes on Amazon's "Prime Day" with online sale ,July 13 Wal-Mart Stores Inc is launching an online discount sale on Wednesday to counter Amazon.com Inc's  highly-publicized "Prime Day"  a shopping event for members of its Amazon Prime service on the same day.,normal
AAL,American Airlines Group Inc,20150713,American to resume Caracas-JFK route; currency dispute unresolved ,CARACAS American Airlines  said on Monday it would restart its Caracas-New York route as of Dec. 17  though it added that it had not repatriated more than half a billion dollars in revenue trapped in Venezuela as a result of currency controls.,topStory
AAL,American Airlines Group Inc,20150713,American to resume Caracas-JFK route; currency dispute unresolved ,CARACAS  July 13 American Airlines said on Monday it would restart its Caracas-New York route as of Dec. 17  though it added that it had not repatriated more than half a billion dollars in revenue trapped in Venezuela as a result of currency controls.,normal
AMPH,Amphastar Pharmaceuticals Inc,20150713,Judge throws out Amphastar whistleblower lawsuit against Sanofi ,A U.S. judge has dismissed an unusual whistleblower lawsuit by generic drugmaker Amphastar Pharmaceuticals Inc accusing rival Sanofi SA of deceiving the government in a patent application  and said he may impose sanctions on Amphastar's counsel.,topStory
AAPL,Apple Inc,20150713,US STOCKS-Wall St opens higher on Greek debt deal ,* Indexes up: Dow 0.94 pct  S&P 0.79 pct  Nasdaq 0.88 pct   (Updates to open),topStory
AAPL,Apple Inc,20150713,U.S. FTC exploring Apple rules for streaming music rivals in App Store ,WASHINGTON/SAN FRANCISCO U.S. government antitrust regulators are looking into claims about whether Apple's treatment of rival streaming music apps is illegal under antitrust law  according to three industry sources.,normal
AAPL,Apple Inc,20150713,RPT-U.S. FTC exploring Apple rules for streaming music rivals in App Store ,WASHINGTON/SAN FRANCISCO July 10 U.S. government antitrust regulators are looking into claims about whether Apple's treatment of rival streaming music apps is illegal under antitrust law  according to three industry sources.,normal
ARRS,ARRIS International plc,20150713,BRIEF-Arris continues to expect closing of Pace deal in Q4 of 2015 ,* Expect Pace Plc acquisition to help counter some of these industry conditions as a result of anticipated synergies and a more diversified customer base and product portfolio,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150713,MOVES-Barclays' Ardalan goes to OakNorth ,LONDON  July 13 (IFR) - Cyrus Ardalan has been appointed chairman of UK banking start up OakNorth. He was previously vice chairman of public policy and government relations at Barclays.,topStory
CSCO,Cisco Systems Inc,20150713,BlackBerry names Cisco veteran as new global head of sales ,TORONTO BlackBerry Ltd named Carl Wiese as head of global sales on Monday  an appointment that comes at a critical juncture for the smartphone industry pioneer  which needs to spur top-line growth in order for its turnaround efforts to succeed.,topStory
CSCO,Cisco Systems Inc,20150713,UPDATE 2-BlackBerry names Cisco veteran as new global head of sales ,TORONTO  July 13 BlackBerry Ltd named Carl Wiese as head of global sales on Monday  an appointment that comes at a critical juncture for the smartphone industry pioneer  which needs to spur top-line growth in order for its turnaround efforts to succeed.,normal
CSCO,Cisco Systems Inc,20150713,BlackBerry names Cisco veteran as global head of sales ,TORONTO  July 13 BlackBerry Ltd   named Carl Wiese as global head of sales on Monday  an appointment that comes at a critical juncture for the company  which needs to spur top-line growth in order for its turnaround efforts to succeed.,normal
CMCSA,Comcast Corporation,20150713,Comcast to offer streaming services for $15 a month ,Cable company Comcast Corp said it is beta testing a new cable streaming service called Stream  which will broadcast live TV from HBO and about a dozen other networks for $15 per month.,topStory
CMCSA,Comcast Corporation,20150713,Comcast to offer streaming services for $15 a month ,July 12 Cable company Comcast Corp  said it is beta testing a new cable streaming service called Stream  which will broadcast live TV from HBO and about a dozen other networks for $15 per month.,normal
DGII,Digi International Inc,20150713,BRIEF-Telenor unit DiGi's Q2 core profit rises to NOK 1.66 bln ,* During the quarter  DiGi's total number of subscriptions  rose by 123 000 to 11.815 million,topStory
DLTR,Dollar Tree Inc,20150713,TRLPC: Electronic messaging system for loan market set to be released ,NEW YORK  July 13 A final standard for an electronic messaging system that seeks to eliminate the use of faxes in the $840 billion U.S. leveraged loan market may be released as early as this week.,normal
FB,Facebook Inc,20150713,US STOCKS-Wall Street rallies on Greek deal; tech stocks jump ,* Indexes up: Dow 1.22 pct  S&P 1.11 pct  Nasdaq 1.48 pct   (Updates to close  adds detail),topStory
FB,Facebook Inc,20150713,US STOCKS-Wall Street surges on Greek deal; tech stocks rally ,* Indexes up: Dow 1.07 pct  S&P 0.93 pct  Nasdaq 1.31 pct   (Updates to afternoon  adds comment  details on volatility),normal
FB,Facebook Inc,20150713,US STOCKS-U.S. stocks advance on Greek deal; tech stocks lead ,* Indexes up: Dow 0.99 pct  S&P 0.86 pct  Nasdaq 1.3 pct   (Updates to early afternoon),normal
FTNT,Fortinet Inc,20150713,BRIEF-Ntt Com Security and Fortinet agree on global security partnership ,* NTT Com Security and Fortinet agree on global security partnership  Source text - http://bit.ly/1LblTUN Further company coverage:    (Gdynia Newsroom),topStory
MU,Micron Technology Inc,20150713,Greenlight's Einhorn says Micron 'will be worth more than' Netflix ,NEW YORK Billionaire hedge fund manager David Einhorn said in an investor letter on Monday that chipmaker Micron Technology Inc  would be worth more than Netflix Inc  within the next few years.,topStory
NFLX,Netflix Inc,20150713,Greenlight's Einhorn says Micron 'will be worth more than' Netflix ,NEW YORK Billionaire hedge fund manager David Einhorn said in an investor letter on Monday that chipmaker Micron Technology Inc  would be worth more than Netflix Inc  within the next few years.,topStory
NFLX,Netflix Inc,20150713,US STOCKS-Wall Street rallies on Greek deal; tech stocks jump ,* Indexes up: Dow 1.22 pct  S&P 1.11 pct  Nasdaq 1.48 pct   (Updates to close  adds detail),normal
NFLX,Netflix Inc,20150713,US STOCKS-Wall Street surges on Greek deal; tech stocks rally ,* Indexes up: Dow 1.07 pct  S&P 0.93 pct  Nasdaq 1.31 pct   (Updates to afternoon  adds comment  details on volatility),normal
NFLX,Netflix Inc,20150713,US STOCKS-U.S. stocks advance on Greek deal; tech stocks lead ,* Indexes up: Dow 0.99 pct  S&P 0.86 pct  Nasdaq 1.3 pct   (Updates to early afternoon),normal
QCOM,QUALCOMM Incorporated,20150713,Moelis & Co adds new semiconductor banker -memo ,July 13 Moelis & Co has hired investment banker Zach Righellis as a managing director to build up a practice in global semiconductors  one of the most active areas this year in technology dealmaking  the company said on Monday.,normal
AA,Alcoa Corporation,20150713,RPT-COLUMN-Alcoa shines a light on China's "fake semis" trade: Andy Home ,LONDON  July 13 China exported 2.5 million tonnes of unwrought aluminium and aluminium products in the first half of this year.,topStory
AA,Alcoa Corporation,20150713,COLUMN-Alcoa shines a light on China's "fake semis" trade: Andy Home ,LONDON  July 13 China exported 2.5 million tonnes of unwrought aluminium and aluminium products in the first half of this year.,normal
BABA,Alibaba Group Holding Limited,20150713,Alibaba's Ma-backed Hundsun defends role in stock market rout ,BEIJING Hundsun Technologies Inc   the financial information technology company controlled by Alibaba Group Holding Ltd  founder Jack Ma  on Monday rejected local media criticism that blamed its platform for China's stock market rout.,topStory
BABA,Alibaba Group Holding Limited,20150713,China's regulator investigating Hundsun Technologies ,SINGAPORE  July 13 The China Securities Regulatory Commission is investigating Hundsun Technologies Inc   the financial information technology company controlled by Alibaba Group Holding Ltd founder Jack Ma.,normal
