ATVI,Activision Blizzard Inc,20131011,Deals of the day- Mergers and acquisitions ,Oct 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
AMRN,Amarin Corporation plc,20131011,Amarin shares fall on FDA review of Vascepa combination therapy ,Shares of Amarin Corporation Plc fell 20 percent on Friday on concerns the U.S. Food and Drug Administration will reject its application to market Vascepa  a drug that lowers blood fat levels  to a broader patient population.,topStory
AMZN,Amazoncom Inc,20131011,U.S. court rules in favor of Amazon in CIA contract dispute ,A U.S. court ruled in favor of Amazon.com Inc in the online retailer's dispute with IBM over a $600 million cloud computing contract awarded by the Central Intelligence Agency  a court notice showed.,topStory
AMZN,Amazoncom Inc,20131011,Retailers see 'click and mortar' as way to beat Amazon ,PARIS Traditional stores can take on e-commerce and keep their major role by reinventing themselves faster to best combine shopping in stores and online  top retailers said on Tuesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131011,Detroit gets $350 million financing lifeline from Barclays ,Barclays Plc  will provide cash-strapped Detroit with up to $350 million in debtor-in-possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20131011,UPDATE 2-Detroit gets $350 mln financing lifeline from Barclays ,Oct 11 Barclays Plc will provide cash-strapped Detroit with up to $350 million in debtor-in-possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131011,Detroit says gets $350 mln financing commitment from Barclays ,Oct 11 Barclays will provide cash-strapped Detroit with up to $350 million in debtor in possession financing in the wake of its municipal bankruptcy filing in July  Detroit's top official said on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20131011,UPDATE 1-Barclays signs up to Britain's mortgage guarantee scheme ,* Most major mortgage lenders now signed up to "Help to Buy",normal
CA,CA Inc,20131011,Global optimism  c/a data lift Turkish stocks in quiet trade ,ISTANBUL  Oct 11 A narrowing of Turkey's current account deficit and rising hopes that U.S. lawmakers can secure a deal to avoid a debt default helped to lift Turkish stocks on Friday.,topStory
CMCSA,Comcast Corporation,20131011,Hulu in talks with Fox TV executive for CEO role -source ,LOS ANGELES  Oct 10 Hulu is negotiating with Fox television executive Mike Hopkins to name him chief executive officer of the video streaming company  a person with knowledge of the discussions said on Thursday.,normal
COST,Costco Wholesale Corporation,20131011,Sam's Club bets new merchandise will make customers buy more ,ROMEOVILLE  Illinois Sam's Club is trying to stand out against its larger  faster-growing rival Costco Wholesale Corp  with trendier holiday merchandise this year  hoping that new goods will spur its members to spend more.,topStory
COST,Costco Wholesale Corporation,20131011,Sam's Club bets new merchandise will make customers buy more ,ROMEOVILLE  Ill.  Oct 11 Sam's Club is trying to stand out against its larger  faster-growing rival Costco Wholesale Corp with trendier holiday merchandise this year  hoping that new goods will spur its members to spend more.,normal
FB,Facebook Inc,20131011,Google unveils plans for user names  comments to appear in ads ,SAN FRANCISCO  Oct 11 Google Inc plans to launch new product-endorsement ads incorporating photos  comments and names of its users  in a move to match the "social" ads pioneered by rival Facebook Inc that is raising some privacy concerns.,topStory
LBTYA,Liberty Global plc,20131011,REFILE-Liberty Global says content with present stake in Ziggo ,BRUSSELS  Oct 8 U.S. cable group Liberty Global  is content with its present 28.5 percent stake in Dutch cable group Ziggo and has no current plans to expand it  Liberty's chief executive said on Tuesday.,topStory
LBTYB,Liberty Global plc,20131011,REFILE-Liberty Global says content with present stake in Ziggo ,BRUSSELS  Oct 8 U.S. cable group Liberty Global  is content with its present 28.5 percent stake in Dutch cable group Ziggo and has no current plans to expand it  Liberty's chief executive said on Tuesday.,topStory
LBTYK,Liberty Global plc,20131011,REFILE-Liberty Global says content with present stake in Ziggo ,BRUSSELS  Oct 8 U.S. cable group Liberty Global  is content with its present 28.5 percent stake in Dutch cable group Ziggo and has no current plans to expand it  Liberty's chief executive said on Tuesday.,topStory
