AMZN,Amazoncom Inc,20151125,UPDATE 3-Magnitude 7.6 quakes hit Peru-Brazil border  no damage reported ,LIMA  Nov 24 Two major magnitude 7.6 earthquakes struck the Peruvian-Brazilian border in the Amazon basin within minutes of each other on Tuesday  the U.S. Geological Survey said  but there were no immediate reports of damage.,topStory
AAL,American Airlines Group Inc,20151125,American Airlines stops accepting payments in Argentine pesos ,BUENOS AIRES American Airlines  has stopped accepting Argentine pesos to pay for tickets due to currency controls that make it hard to convert receipts into U.S. dollars  the carrier said on Wednesday.,topStory
AAL,American Airlines Group Inc,20151125,UPDATE 2-American Airlines stops accepting payments in Argentine pesos , ,normal
AAL,American Airlines Group Inc,20151125,American Airlines stops accepting payments in Argentine pesos ,BUENOS AIRES  Nov 25 American Airlines  has stopped accepting Argentine pesos to pay for tickets due to currency controls that make it hard to convert receipts into U.S. dollars  local media and one of the airline's sales agents said on Wednesday.,normal
AMGN,Amgen Inc,20151125,Amgen files for U.S. approval of biosimilar to Humira ,Amgen Inc on Wednesday said it filed with U.S. health regulators seeking approval to sell its first biosimilar drug  which would be a less expensive alternative to AbbVie's Humira  the world's top-selling prescription medicine.,topStory
AMGN,Amgen Inc,20151125,Amgen files for U.S. approval of biosimilar to Humira ,Nov 25 Amgen Inc on Wednesday said it filed with U.S. health regulators seeking approval to sell its first biosimilar drug  which would be a less expensive alternative to AbbVie's Humira  the world's top-selling prescription medicine.,normal
AAPL,Apple Inc,20151125,WARF seeks to multiply $234 patent infringement win against Apple ,The University of Wisconsin-Madison's patent licensing arm on Monday made another bid to triple its $234 million award against Apple for patent infringement  while Apple asked the judge to set aside the verdict entirely.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151125,Barclays settles with U.S. investors over Libor manipulation ,Barclays Plc has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20151125,Barclays settles with U.S. investors over Libor manipulation ,NEW YORK Barclays Plc  has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20151125,Barclays settles with U.S. investors over Libor manipulation ,NEW YORK  Nov 25 Barclays Plc has agreed to pay $14 million to settle litigation by holders of its American depositary shares that it conspired with rivals to rig the Libor benchmark interest rate  causing its share price to be inflated.,normal
ESRX,Express Scripts Holding Company,20151125,U.S. court rejects Linden Care's request for temporary restraining order ,A U.S. District Court on Wednesday denied specialty pharmacy Linden Care LLC's request for a temporary restraining order (TRO) against Express Scripts Holding Co  for dropping it from its network earlier this month.,topStory
