ACIW,ACI Worldwide Inc,20110831,UPDATE 1-S1 tells shareholders to sit tight on ACI offer , Aug 31 Payment processing technology provider S1 Corp has advised shareholders to take no action  a day after larger rival ACI Worldwide went hostile with a more than $500 million bid.,topStory
ATVI,Activision Blizzard Inc,20110831,UPDATE 2-Vivendi H1 rises as France pressure grows , * Annual targets on profit and higher dividend confirmed,topStory
ATVI,Activision Blizzard Inc,20110831,Vivendi H1 in-line  helped by games  Brazil , PARIS  Aug 31 European telecom and entertainment giant Vivendi  posted in-line first-half results marked by growth in Brazilian telecom and games and continued pressure on its core French telecom unit.,normal
GOOG,Alphabet Inc,20110831,Google touts daily deal on home page  a first ,SAN FRANCISCO Google Inc promoted a Groupon-like daily deals offer on its home page on Wednesday for the first time  a rare instance of the Internet giant using its prized online real estate for advertising.,topStory
GOOG,Alphabet Inc,20110831,UPDATE 1-Google touts daily deal on home page  a first , * Google displays daily deal coupon on homepage  (Adds Google comment),normal
GOOG,Alphabet Inc,20110831,Sony tablets fail to impress on price  hardware ,NEW YORK/BERLIN Sony's hopes of dominating consumer electronics once again with its new tablets suffered a crushing blow on Wednesday from analysts and gadget reviewers whose first impressions were overwhelmingly bad.,normal
GOOG,Alphabet Inc,20110831,UPDATE 4-Sony tablets fail to impress on price  hardware , * Analysts concerned high price will turn off consumers,normal
GOOG,Alphabet Inc,20110831,RIM's head of developer relations resigns ,TORONTO Research In Motion's head of developer relations  Mike Kirkup  has resigned  the latest in a string of departures as the BlackBerry maker seeks to claw back ground lost to Apple and Google.,normal
GOOG,Alphabet Inc,20110831,Groupon targets zero spending on new subscribers ,SAN FRANCISCO Groupon spends millions of dollars enticing new subscribers  but the largest daily deal company wants to slash that cost to zero in less than three years  a big part of its quest for profitability  according to two people familiar with the company.,normal
GOOG,Alphabet Inc,20110831,UPDATE 1-Groupon targets zero spending on new subscribers , * Plan is to be profitable on CSOI basis by end of 2011  (Adds background on Facebook  Yelp),normal
GOOG,Alphabet Inc,20110831,Groupon targets zero spending on new subscribers , * Plan is to be profitable on CSOI basis by end of 2011,normal
