ALNY,Alnylam Pharmaceuticals Inc,20120925,Alnylam gets favorable ruling in patent suit against Tekmira ,Alnylam Pharmaceuticals Inc said a U.S. federal court has ruled that it could sue Canada's Tekmira Pharmaceuticals Corp for infringing patents on lipid nanoparticle technology exclusively licensed to Alnylam.,topStory
AMZN,Amazoncom Inc,20120925,UPDATE 2-Barnes & Noble to launch video service for Nook ,Sept 25 Barnes & Noble Inc is launching a video streaming and download service this autumn for its Nook e-books and device business in the latest volley in its battle to keep up with Amazon.com Inc.,topStory
AMZN,Amazoncom Inc,20120925,Nasdaq strikes cloud deal with Amazon to cut clients' data costs ,LONDON Nasdaq OMX on Tuesday launched a cloud computing platform built by Amazon Web Services which it said would allow its trading clients to cut the cost of storing financial data.,normal
AMZN,Amazoncom Inc,20120925,Nasdaq strikes cloud deal with Amazon to cut clients' data costs ,LONDON  Sept 25 Nasdaq OMX on Tuesday launched a cloud computing platform built by Amazon Web Services  which it said would allow its trading clients to cut the cost of storing financial data.,normal
AAPL,Apple Inc,20120925,US STOCKS SNAPSHOT - Nasdaq falls 1 pct  led by Apple ,NEW YORK  Sept 25 The Nasdaq fell more than 1 percent on Tuesday and the Dow and S&P 500 extended losses  led by declines in Apple shares,topStory
AAPL,Apple Inc,20120925,China factory unrest a fresh headache for Foxconn ,TAIYUAN  China A brawl at a Foxconn factory that disrupted production at Apple's main China supplier for 24 hours highlights regimented dormitory life and thuggish security as major sources of labor tension in China. | Video ,normal
AAPL,Apple Inc,20120925,Belgians rush for new iPhone without knowing price ,BRUSSELS  Sept 25 More than 10 000 Belgians have already registered to buy Apple's new iPhone ahead of its official Belgian launch on Friday  though they do not yet know how much the device will cost them  operator Mobistar  said on Friday.,normal
AAPL,Apple Inc,20120925,UPDATE 4-China factory unrest a fresh headache for Foxconn ,TAIYUAN  China  Sept 25 A brawl at a Foxconn factory that disrupted production at Apple's main China supplier for 24 hours highlights regimented dormitory life and thuggish security as major sources of labour tension in China.,normal
AAPL,Apple Inc,20120925,Google says Maps not waiting in wings for iPhone 5 ,TOKYO Google Inc has made no move to provide Google Maps for the iPhone 5 after Apple Inc dropped the application in favor of a home-grown but controversial alternative  Google's Executive Chairman Eric Schmidt said.,normal
AAPL,Apple Inc,20120925,Google says Maps not waiting in wings for iPhone 5 ,TOKYO Google Inc has made no move to provide Google Maps for the iPhone 5 after Apple Inc dropped the application in favor of a home-grown but controversial alternative  Google's Executive Chairman Eric Schmidt said.,normal
AAPL,Apple Inc,20120925,UPDATE 1-Google says Maps not waiting in wings for iPhone 5 ,* Google's Schmidt says Google Maps not on offer for iPhone 5,normal
AAPL,Apple Inc,20120925,Google exec: not yet offered new map to Apple , ,normal
ARCC,Ares Capital Corporation,20120925,TEXT-Fitch rates Ares Capital unsecured retail notes 'BBB' ,Sept 25 - Fitch Ratings has assigned a rating of 'BBB' to Ares Capital Corporation's (Ares) $175 million issuance of 5.875% unsecured retail notes. The notes will mature in October 2022.  Fitch does not believe there will be a material impact on the company's leverage levels as a result of the issuance  as proceeds will largely be used to repay borrowings on secured credit facilities.  RATING DRIVERS AND SENSITIVITIES  Ares currently has a Stable Rating Outlook  which reflects Fitch's expectatio,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20120925,Barclays boss says get set for changes in Feb review ,LONDON  Sept 25 Barclays Plc's new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20120925,Barclays to shut 3 branches in India  cut jobs - sources ,MUMBAI  Sept 25 Barclays will shut three of its nine bank branches in India by end of this month  two sources with direct knowledge of the development said on Tuesday  as the British bank reduces its retail banking operations in the country.,normal
DLBL,Barclays PLC,20120925,Barclays boss says get set for changes in February review ,LONDON Barclays Plc's  new boss said "there will need to be changes" in its investment bank and European operations as part of a review of the British bank he will unveil in February.,topStory
