ACHC,Acadia Healthcare Company Inc,20121205,TEXT-S&P puts Acadia Healthcare 'B-' notes rating on watch negative ,Overview      -- U.S. behavioral health care provider Acadia Healthcare Co. Inc.  plans to acquire two behavioral health care companies with a total purchase price of about $260 million.      -- We expect the transaction to be financed with close to $200 million of  equity  following their proposed offering  with the remainder financed with  new debt.       -- We are affirming our 'B' corporate credit rating as a result of the  planned acquisition. We are placing the 'B-' issue-level rating on t,topStory
ALGN,Align Technology Inc,20121205,Align reorganizes business  sees fourth-quarter results at low end of forecast ,Dental products maker Align Technology Inc  said it made organizational changes to support its Clear Aligner and scanning and design services product lines  including appointing new heads of the businesses and cutting about 25 jobs.,topStory
ALGN,Align Technology Inc,20121205,Align reorganizes business  sees 4th-qtr results at low end of forecast ,Dec 5 Dental products maker Align Technology Inc  said it made organizational changes to support its Clear Aligner and scanning and design services product lines  including appointing new heads of the businesses and cutting about 25 jobs.,normal
AAPL,Apple Inc,20121205,Apple's shares swallow biggest loss in four years ,NEW YORK/SAN FRANCISCO Apple Inc shares tumbled more than 6 percent on Wednesday  chalking up their biggest single-day loss in four years as fears grow about intensifying competition in the mobile device market.,topStory
AAPL,Apple Inc,20121205,US STOCKS-Dow  S&P rise  but Nasdaq sours with Apple in wild day ,* Apple struggles throughout session  worst day since 2008,normal
AAPL,Apple Inc,20121205,CORRECTED-US STOCKS-Dow  S&P end higher  but Apple sinks Nasdaq in wild day ,(Corrects paragraph 17 to show previous rating for Greece was "CCC" and not "C"),normal
AAPL,Apple Inc,20121205,CORRECTED-US STOCKS-Dow  S&P end higher  but Apple sinks Nasdaq in wild day ,(Corrects paragraph 2 to note Dow's best day since Nov. 28 and not Nov. 23),normal
AAPL,Apple Inc,20121205,US STOCKS SNAPSHOT-Choppy Wall St ends mostly up  Apple falls ,NEW YORK  Dec 5 A volatile trading session ended with U.S. stocks mostly higher on Wednesday  even as Apple  the most valuable U.S. company  suffered its worst day of losses in nearly four years.,normal
AAPL,Apple Inc,20121205,BRIEF-Apple shares post largest daily pct decline since Dec 17 2008 ,NEW YORK  Dec 5 Apple Inc :  * Shares posted their largest daily percentage decline since Dec. 17 2008,normal
AAPL,Apple Inc,20121205,US STOCKS-Dow  S&P rebound on banks  but Nasdaq sours with Apple ,* Travelers' gain leads Dow higher  Apple's drop hits Nasdaq,normal
AAPL,Apple Inc,20121205,US STOCKS-Wall St rebounds as banks  Travelers offset Apple ,NEW YORK  Dec 5 U.S stocks advanced in a choppy session on Wednesday as a rally in bank shares and The Travelers  a Dow component  overshadowed Apple's unexpected drop and weakness in the technology sector.,normal
AAPL,Apple Inc,20121205,US STOCKS-Apple slump drags Wall Street lower ,NEW YORK  Dec 5 An unexpected decline in shares of Apple Inc led U.S. stocks lower on Wednesday  as the tech giant dropped nearly 5 percent in heavy trading.,normal
AAPL,Apple Inc,20121205,US STOCKS SNAPSHOT-Nasdaq falls 1 pct  Apple weighs ,NEW YORK  Dec 5 U.S. stocks added to losses in morning trading Wednesday  with the Nasdaq Composite shedding more than 1 percent as shares of Apple dropped nearly 5 percent.,normal
ATHN,athenahealth Inc,20121205,BRIEF-Athenahealth shares down 4.9 pct after the bell following guidance ,NEW YORK  Dec 5 Athenahealth Inc :  * Shares were down 4.9 percent after the bell following the release of its guidance.,topStory
ADSK,Autodesk Inc,20121205,TEXT-S&P rates Autodesk Inc. 'BBB'  outlook stable ,Overview      -- San Rafael  Ca.-based Autodesk Inc.  a leading provider of design  engineering and entertainment software solutions  has a "satisfactory"  business risk position in its design software solutions  and solid free cash  flows generation.      -- We are assigning our 'BBB' corporate credit rating to Autodesk Inc.       -- We expect Autodesk to maintain its market position and financial  profile in line with the current rating in the intermediate term.      Rating Action On Dec. 5  2,topStory
ADP,Automatic Data Processing Inc,20121205,WRAPUP 2-Storm hits U.S. hiring in November; service sector expands ,NEW YORK  Dec 5 U.S. private-sector hiring took a hit in November due to the impact of storm Sandy that ravaged consumers and businesses in the northeastern United States  but the huge services sector continued to expand albeit at a modest pace.,topStory
ADP,Automatic Data Processing Inc,20121205,Private sector adds fewer-than-expected jobs in November: ADP ,NEW YORK Private-sector employers added 118 000 jobs in November  shy of economists' expectations  a report by a payrolls processor showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121205,UPDATE 1-U.S. Nov private-sector hiring hit by storm -ADP ,NEW YORK  Dec 5 U.S. private-sector employers added fewer jobs than expected in November as superstorm Sandy hit companies in the northeast  a report by a payrolls processor showed on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121205,Underlying private-sector jobs growth was around 150 000 in November: ADP ,NEW YORK Underlying jobs growth in the U.S. private sector was around 150 000 in November after superstorm Sandy and seasonal factors are taken into account  compilers of a private-sector jobs report said on a conference call on Wednesday.,normal
ADP,Automatic Data Processing Inc,20121205,RPT-ADP sets its sights on a 'true' look at U.S. private jobs market ,* Revamped report aims to come inline with 3rd nonfarm payrolls reading,normal
ADP,Automatic Data Processing Inc,20121205,ADP sets its sights on a "true" look at U.S. private jobs market ,NEW YORK Mark Zandi has more riding on this week's U.S. labor data than most other economists.,normal
ADP,Automatic Data Processing Inc,20121205,ADP sets its sights on a 'true' look at U.S. private jobs market ,* Revamped report aims to come inline with 3rd nonfarm payrolls reading,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DLBL,Barclays PLC,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DLBL,Barclays PLC,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DLBL,Barclays PLC,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DLBL,Barclays PLC,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DTYL,Barclays PLC,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DTYL,Barclays PLC,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DTYL,Barclays PLC,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DTYL,Barclays PLC,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
CZR,Caesars Entertainment Corporation,20121205,TEXT-S&P rates Caesars Entertainment's proposed notes 'B' ,Dec 5 - Standard & Poor's Ratings Services assigned issue-level and recovery ratings to Las Vegas-based Caesars Entertainment Corp.'s (CEC) proposed $300 million first-lien senior secured notes due 2020  to be issued jointly by Caesars Operating Escrow LLC and Caesars Escrow Corp. (the escrow issuers). We assigned our 'B' issue-level rating (one notch higher than our 'B-' corporate credit rating on the company) with a recovery rating of '2'  indicating our expectation for substantial (70%-90%) r,topStory
CME,CME Group Inc,20121205,CME to pay dividend in December to avoid "fiscal cliff" ,CHICAGO CME Group Inc   the biggest operator of U.S. futures exchanges  on Wednesday joined a number of companies moving 2013 dividend payouts to this month to shield shareholders from expected tax increases.,topStory
CME,CME Group Inc,20121205,UPDATE 2-CME to pay dividend in Dec to avoid 'fiscal cliff' ,* Special dividend more than double prior annual dividend,normal
CME,CME Group Inc,20121205,UPDATE 1-CME to pay dividend this month to avoid "fiscal cliff" ,CHICAGO  Dec 5 CME Group Inc  the biggest operator of U.S. futures exchanges  on Wednesday joined a number of companies moving 2013 dividend payouts to this month to shield shareholders from expected tax increases.,normal
CME,CME Group Inc,20121205,CME boosts credit lines to $1.75 bln to meet regulatory needs ,Dec 5 CME Group Inc  the biggest operator of U.S. futures exchanges  boosted its available credit lines by 68 percent to $1.75 billion to meet stricter regulatory standards set forth in the Dodd-Frank Wall Street reform act.,normal
CMCSA,Comcast Corporation,20121205,UPDATE 4-Sports fans can pursue US antitrust case over programs ,* Subscribers claimed to overpay for TV  Internet packages,topStory
ESLT,Elbit Systems Ltd,20121205,Elbit Systems to supply space camera to Italian satellite ,TEL AVIV Israeli defense electronics firm Elbit Systems  said its subsidiary won a contract from Israel Aerospace Industries to provide a space camera for the Italian OPTSAT 3000 observation satellite.,topStory
ESLT,Elbit Systems Ltd,20121205,Elbit Systems to supply space camera to Italian satellite ,TEL AVIV  Dec 5 Israeli defence electronics firm Elbit Systems said its subsidiary won a contract from Israel Aerospace Industries to provide a space camera for the Italian OPTSAT 3000 observation satellite.,normal
EA,Electronic Arts Inc,20121205,Korea Hot Stocks-Neowiz dives on report of EA stake sale ,SEOUL  Dec 5 South Korea's main KOSPI share index was down 0.13 percent at 1 932.71 as of 0155 GMT. The junior Kosdaq index was down 1 percent at 497.53.,topStory
FB,Facebook Inc,20121205,In brewing rivalry  Instagram trims ties to Twitter ,SAN FRANCISCO Facebook Inc's recently acquired photo-sharing service Instagram removed a key element of its integration with Twitter  signaling a deepening rift between two of the Web's dominant social media companies.,topStory
FB,Facebook Inc,20121205,Instagram's Systrom coy on ad plans  user data ,PARIS Instagram's youthful Chief Executive Kevin Systrom allowed himself a luxury at a Paris technology conference that he never feels comfortable doing in San Francisco: wearing a tie.,normal
FB,Facebook Inc,20121205,Instagram's Systrom coy on ad plans  user data ,PARIS  Dec 5 Instagram's youthful Chief Executive Kevin Systrom allowed himself a luxury at a Paris technology conference that he never feels comfortable doing in San Francisco: wearing a tie.,normal
FB,Facebook Inc,20121205,UPDATE 2-In brewing rivalry  Instagram trims ties to Twitter ,SAN FRANCISCO  Dec 5 Facebook Inc's  recently acquired photo-sharing service  Instagram removed a key element of its integration with Twitter  signaling a deepening rift between two of the Web's dominant social media companies.,normal
FB,Facebook Inc,20121205,Facebook's Instagram cuts support for key Twittter integration ,SAN FRANCISCO  Dec 5 Facebook Inc's  recently-acquired photo-sharing service Instagram removed a key element of its integration with Twitter  signaling that competition between the popular Web social media companies may be heating up.,normal
FNSR,Finisar Corporation,20121205,BRIEF-Finisar shares up 5.6 pct after the bell following results ,NEW YORK  Dec 5 Finisar Corp :  * Shares were up 5.6 percent after the bell following the release of its results.,topStory
FRAN,Francesca&#39;s Holdings Corporation,20121205,BRIEF-Francesca's up in premarket after Q3 results  outlook ,NEW YORK  Dec 5 Francesca's Holdings Corp :  * Up 8.7 percent to $29.14 in premarket after Q3 results  outlook,topStory
FRAN,Francesca&#39;s Holdings Corporation,20121205,Apparel maker Francesca's raises forecast on strong margins ,Francesca's Holdings Corp's  third-quarter results surpassed Wall Street estimates as its higher-margin products found favor with shoppers  prompting the retailer to raise its full-year outlook.,normal
FRAN,Francesca&#39;s Holdings Corporation,20121205,Apparel maker Francesca's raises forecast on strong margins ,Dec 5 Francesca's Holdings Corp's  third-quarter results surpassed Wall Street estimates as its higher-margin products found favor with shoppers  prompting the retailer to raise its full-year outlook.,normal
IOSP,Innospec Inc,20121205,TPC shareholders approve sale to First Reserve  SK Capital ,Dec 5 Shareholders of chemical manufacturer TPC Group Inc approved the sale of the company to private equity firms First Reserve Corp and SK Capital  after Innospec Inc withdrew its bid earlier this week.,topStory
INTC,Intel Corporation,20121205,New Issue - Intel sells $6 bln notes in 4 parts ,Dec 5 Intel Corp on Tuesday sold $6 billion of notes in four parts  said IFR  a Thomson Reuters service.      Bank of America Merrill Lynch and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: INTEL  TRANCHE 1 AMT $3 BLN      COUPON 1.35 PCT    MATURITY    12/15/2017    TYPE NTS        ISS PRICE 99.894   FIRST PAY    6/15/2013  MOODY'S A1      YIELD 1.372 PCT    SETTLEMENT  12/11/2012    S&P A-PLUS      SPREAD 75 BPS      PAY FREQ    SEMI-ANNUAL FITCH A-PLUS  ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
FLAT,iPath US Treasury Flattener ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
FLAT,iPath US Treasury Flattener ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
FLAT,iPath US Treasury Flattener ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
FLAT,iPath US Treasury Flattener ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
STPP,iPath US Treasury Steepener ETN,20121205,US Justice Dept expands probe into Saudi bank licenses -source ,WASHINGTON  Dec 5 A U.S. investigation into whether Barclays Plc paid bribes to win a banking license in Saudi Arabia has spread to other banks that operate in the region  according to a person familiar with the matter.,topStory
STPP,iPath US Treasury Steepener ETN,20121205,Mickelson to start 2013 PGA Tour season at La Quinta ,Four-times major champion Phil Mickelson will launch his 2013 PGA Tour campaign at next month's Humana Challenge in La Quinta  California  tournament organizers said on Wednesday.,normal
STPP,iPath US Treasury Steepener ETN,20121205,STOCKS NEWS EUROPE-Morgan Stanley focuses on cheap banks ,Morgan Stanley says its focus is on a few cheap banks where it sees strong earnings power in their core franchises and reasonable odds that they can accelerate restructuring  exit non-core assets effectively and start to pay good dividends.,normal
STPP,iPath US Treasury Steepener ETN,20121205,Scott tries regular putter but going back to broomstick ,SYDNEY Adam Scott will probably go back to using a broomstick putter at this week's Australian Open after "messing around" with a shorter club in practice  the world number seven said on Wednesday.,normal
MORN,Morningstar Inc,20121205,PIMCO flagship fund attracts $2.5 billion in November ,NEW YORK  Dec 5 The PIMCO Total Return Fund  the world's largest mutual fund  attracted $2.5 billion in investor cash in November to bring the fund's assets to $285 billion  according to fund research firm Morningstar Inc on Wednesday.,topStory
UEPS,Net 1 UEPS Technologies Inc,20121205,BRIEF-Net 1 UEPS up in premarket after statement on U.S. Dept of Justice investigation ,NEW YORK  Dec 5 Net 1 UEPS Technologies Inc  :  * Up 9.3 percent to $3.52 in premarket after statement on U.S. Department of Justice investigation,topStory
NFLX,Netflix Inc,20121205,Netflix says it won't raise prices after Disney deal ,NEW YORK Netflix Inc doesn't plan to pass along the cost of the rights to Walt Disney Co movies to subscribers  a senior executive at the video streaming company said on Wednesday.,topStory
