AMZN,Amazoncom Inc,20121109,Amazon unveils wine marketplace in some U.S. states ,SAN FRANCISCO Amazon.com Inc unveiled a new online wine marketplace on Thursday  in the company's second attempt to crack a sector curtailed by a tangle of complex regulations.,topStory
AAPL,Apple Inc,20121109,UPDATE 1-China Unicom expects to start selling iPhone 5 by yr-end ,BEIJING  Nov 9 China Unicom  the country's second-largest mobile carrier  expects to begin selling Apple Inc's latest iPhones this year and has set an ambitious target of having 100 million 3G users by end-2012 as it tries to attract high-end users to lift profits.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DLBL,Barclays PLC,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DLBL,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DLBL,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DLBL,Barclays PLC,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DLBL,Barclays PLC,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DLBL,Barclays PLC,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DTYL,Barclays PLC,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DTYL,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DTYL,Barclays PLC,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DTYL,Barclays PLC,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DTYL,Barclays PLC,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DTYL,Barclays PLC,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
CETV,Central European Media Enterprises Ltd,20121109,Broadcaster CME may sell Croatian  Slovenian TV stations-report ,ZAGREB  Nov 9 Central European Media Enterprises (CME)  may sell television stations in Croatia and Slovenia as part of a restructuring  a Croatian news server reported without citing sources.,topStory
CME,CME Group Inc,20121109,CME lawsuit opens new front against U.S. finance watchdogs ,WASHINGTON/CHICAGO A lawsuit by U.S. exchange operator CME Group added to a groundswell of legal challenges facing regulators rewriting global financial rules  potentially opening up a new front in the fight over the reforms.,topStory
CME,CME Group Inc,20121109,CME lawsuit opens new front against US finance watchdogs ,WASHINGTON/CHICAGO  Nov 9 A lawsuit by U.S. exchange operator CME Group added to a groundswell of legal challenges facing regulators rewriting global financial rules  potentially opening up a new front in the fight over the reforms.,normal
CME,CME Group Inc,20121109,CME Group sues to freeze CFTC swap reporting rules ,NEW YORK Exchange operator CME Group asked a U.S. court on Thursday to prevent the chief U.S. derivatives regulator from enforcing swap reporting rules passed after the 2008 financial crisis.,normal
CME,CME Group Inc,20121109,UPDATE 1-CME Group sues to freeze CFTC swap reporting rules ,NEW YORK  Nov 8 Exchange operator CME Group  asked a U.S. court on Thursday to prevent the chief U.S. derivatives regulator from enforcing swap reporting rules passed after the 2008 financial crisis.,normal
CME,CME Group Inc,20121109,CME Group sues to freeze CFTC swap reporting rules ,NEW YORK  Nov 8 Exchange operator CME Group  asked a U.S. court on Thursday to prevent the chief U.S. derivatives regulator from enforcing swap reporting rules passed after the 2008 financial crisis.,normal
ERIC,Ericsson,20121109,BRIEF-Ericsson says wins LTE order from Mexico's Telcel ,STOCKHOLM  Nov 9 ERICSSON :  * Says wins lte order from Mexican Telcel  * Says Telcel  owned by America Movil  has chosen Ericsson as key supplier in rollout of an LTE network in Mexico  * Says has now signed 90 LTE/EPC contracts worldwide,topStory
EXPE,Expedia Inc,20121109,TEXT-S&P rates Expedia revolving credit facitlity 'BBB-' ,Nov 9 - Standard & Poor's Ratings Services today assigned Bellevue  Wash.-based online travel agency Expedia Inc.'s amended and extended $1 billion revolving credit facility due November 2017 its 'BBB-' issue-level rating. The company's original $750 million revolving credit facility was due to expire in 2016.   The corporate credit rating on Expedia is 'BBB-' and the rating outlook is  stable. We have assumed that Expedia can maintain its market share in online  travel and will adhere to its mo,topStory
FB,Facebook Inc,20121109,Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,MOSCOW Russian email-to-social networking group Mail.Ru cut its stakes in U.S. internet firms Groupon  Facebook  and Zygna  according to the company's website.,topStory
FB,Facebook Inc,20121109,Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,MOSCOW  Nov 9 Russian email-to-social networking group Mail.Ru cut its stakes in U.S. internet firms Groupon  Facebook  and Zygna  according to the company's website.,normal
GBDC,Golub Capital BDC Inc,20121109,BRIEF-Moody's assigns a rating to one class of CLO notes issued by Golub Capital Partners CLO 14  Ltd. ,Nov 9 Moody's assigns a rating to one class of CLO notes issued by Golub Capital Partners CLO 14  Ltd.,topStory
GRPN,Groupon Inc,20121109,Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,MOSCOW Russian email-to-social networking group Mail.Ru cut its stakes in U.S. internet firms Groupon  Facebook  and Zygna  according to the company's website.,topStory
GRPN,Groupon Inc,20121109,Mail.Ru cuts stakes in Groupon  Facebook  Zygna ,MOSCOW  Nov 9 Russian email-to-social networking group Mail.Ru cut its stakes in U.S. internet firms Groupon  Facebook  and Zygna  according to the company's website.,normal
GRPN,Groupon Inc,20121109,BRIEF-Groupon tumbles in premarket after Q3 results ,NEW YORK  Nov 9 Groupon Inc :  * Drops 21.7 to $3.07 in premarket after Q3 results,normal
IEP,Icahn Enterprises LP,20121109,UPDATE 1-Icahn says has considered Netflix takeover  no decision made ,Nov 8 Activist investor Carl Icahn said on Thursday he has considered a hostile takeover bid for Netflix  but was uncertain he stood a chance of acquiring the Internet streaming service in which he holds a 10 percent stake.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121109,TEXT-S&P clarifies equity content for Barclays' proposed CoCo notes ,Nov 09 - Standard & Poor's Ratings Services said today that it had designated Barclays Bank PLC's (Barclays; A+/Negative/A-1) proposed Tier 2 contingent capital notes  which it has announced that it plans to issue in the coming weeks  as having "minimal"  equity content under our bank hybrid criteria. We expect to assign a 'BBB-'  rating to this issue  subject to a review of the final documentation.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121109,Barclays explores new CoCo frontier ,* Bank's comfortable capital cushion could allay investor nervousness,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond ,Borrower                Compagnie de Financement Foncier SA,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121109,New Issue-CFF Corp prices 1.0 bln euro 2022 bond , ,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121109,EU regulators may take US fine against Barclays as precedent ,* But regulators need EU to implement laws to move - ACER,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121109,New Issue-EIB prices 200 mln stg 2017 FRN ,Notes                   Launched under issuer's EMTN programme,normal
